EST_ID,Estuary_Name
1119,Stavis Bay
1120,Seabeck Bay
1121,Big Beef Creek
1122,Pleasant Harbor
1123,Anderson Creek
1124,Fisherman Harbor
1125,Dosewallips River
1126,Zelatched Point Lagoon
1127,Right Smart Cove
1128,Jackson Cove
1129,Bangor Lake
1130,Cattail Lake
1131,Quilcene Bay
1132,Broad Spit
1133,Thorndyke Creek
1134,Tarboo Bay
1135,Port Gamble
1136,Bridgehaven
1137,Shine Creek
1138,Coon Bay
1139,Foulweather Bluff
1140,Twin Spits
1141,Port Ludlow
1142,Mats Mats Bay
1143,Kilisut Harbor
1144,Oak Bay
1145,Hadlock
1146,Chimacum Creek
1147,Walan Point
1148,Port Townsend mill
1149,Salmon-Snow
1150,Gardiner
1151,Sequim Bay
1152,Gierin Creek
1153,Dungeness Bay
1154,McDonald Creek
1155,Morse Creek
1156,The Lagoon
1157,Elwha River
1158,Salt Creek
1159,East Twin River
1160,Pysht River
1161,Clallam River
1162,Hoko River
1163,Sekiu River
1164,Bullman Creek
1165,Sail River
2000,Waatch River
2001,Sooes River
2002,Ozette River
2003,Quillayute River
2004,Goodman Creek
2005,Mosquito Creek
2006,Hoh River
2007,Cedar Creek
2008,Kalaloch Creek
2009,Queets River
2010,Whale Creek
2011,Raft River
2012,Camp Creek
2013,Duck Creek
2014,Quinault River
2015,Wreck Creek
2016,Moclips River
2017,Joe Creek
2018,Elk Creek
2019,Boone Creek
2020,Copalis River
2021,Connor Creek
2022,Grays Harbor
2023,Willapa Bay
2024,Loomis Lake Creek
2025,Columbia River - Reach A
2026,Columbia River - Reach B
2027,Columbia River - Reach C
2028,Columbia River - Reach D
2029,Columbia River - Reach E
2030,Columbia River - Reach F
2031,Columbia River - Reach G
2032,Columbia River - Reach H
2033,Clatsop Spit
2034,Necanicum River
2035,Ecola Creek
2036,Nehalem River
2037,Lake Lytle
2038,Smith Lake
2039,Tillamook Bay
2040,Netarts Bay
2041,Sand Lake
2042,Nestucca Bay
2043,Daley Lake
2044,Neskowin Creek
2045,Salmon River
2046,Devils Lake
2047,Siletz Bay
2048,Depoe Bay
2049,Little Creek
2050,Yaquina Bay
2051,Beaver Creek
2052,Alsea Bay
2053,Big Creek
2054,Yachats River
2055,Tenmile Creek
2056,Big Creek
2057,Cape Creek
2058,Berry Creek
2059,Sutton Creek
2060,Siuslaw River
2061,Siltcoos River
2062,Tahkenitch Creek
2063,Umpqua River
2064,Tenmile Creek
2065,Coos Bay
2066,Sunset Bay
2067,Coquille River
2068,Twomile Creek
2069,Fourmile Creek
2070,New River
2071,Floras Creek
2072,Sixes River
2073,Elk River
2074,Port Orford Head
2075,Hubbard Creek
2076,Brush Creek
2077,Mussel Creek
2078,Euchre Creek
2079,Rogue River
2080,Hunter Creek
2081,Myers Creek
2082,Pistol River
2083,Thomas Creek
2084,Whaleshead Creek
2085,Chetco River
2086,Winchuck River
2087,Smith River
2088,Lake Earl
2089,Pebble Beach
2090,Crescent City Harbor
2091,NC9 Cresent Beach
2092,Wilson Creek
2093,Lagoon Creek
2094,Klamath River
2095,Johnson Creek
2096,Ossagon Creek
2097,Fern Canyon
2098,Squashan Creek
2099,Espa Lagoon
2100,Redwood Creek
2101,Stone Lagoon
2102,Big Lagoon
2103,Little River
2104,Clam Beach
2105,Mad River
2106,Humboldt Bay
2107,Eel River
2108,Guthrie Creek
2109,Bear River
3000,McNutt Gulch
3001,Mattole River
3002,Jackass Creek
3003,Usal Creek
3004,Cottaneva Creek
3005,Wages Creek
3006,Chadbourne Gulch
3007,Seaside Creek
3008,Ten Mile River
3009,Inglenook Fen
3010,Lake Cleone
3011,Virgin Creek
3012,Pudding Creek
3013,Noyo River
3014,Hare Creek
3015,Mitchell Creek
3016,Caspar Creek
3017,Russian Gulch
3018,Big River
3019,Little River
3020,Albion River
3021,Little Salmon Creek
3022,Navarro River
3023,Greenwood Creek
3024,Elk Creek
3025,Irish Gulch
3026,Alder Creek
3027,Manchester
3028,Brush Creek
3029,Garcia River
3030,Gualala River
