"","EST_ID","mean.pr","SD.pr","ES0.99.pr","mean.tas","SD.tas","ES0.99","waterfowl.relative.abundance","waterfowl.richness","meanrisk","Area_Ha","mean.pr.norm","SD.pr.norm","ES0.99.pr.norm","mean.tas.norm","SD.tas.norm","ES0.99.norm","waterfowl.relative.abundance.norm","waterfowl.richness.norm","meanrisk.norm","Area_Ha.norm"
"44",44,13.610156235,-7.873703923,-2.4463950845,18.398392975,1.944971441,10.0583006845,0.042053178,8.040740967,148.856482525085,103.846660481,0.635996196381286,0.763856540602049,0.512872664861522,0.238223553654507,0.397942692835113,0.544144090445737,0.0510504544657245,0.304982020865335,0.127580212532178,0.00239890533018186
"45",45,13.033506405,-8.4428775315,-2.0672648065,18.54575463,1.972194548,10.1272456275,0.082089767,17.15664864,42.5304235785956,335.242448372,0.617063761231509,0.740696521195287,0.523402218057906,0.243935642146531,0.399687211934696,0.550210915642409,0.0996528707612879,0.650744675767853,0.036451489294908,0.00774733352849752
"46",46,11.543539875,-6.6081193225,-1.2788913395,20.47743559,4.7629099335,10.727879544,0.026628124,5.785997868,411.031096850862,36.3675853146,0.568145521362153,0.815353945736002,0.545297647785081,0.318812193864666,0.5785226509427,0.603063827256222,0.0323252105172567,0.219460536006241,0.352281834180317,0.000839209746672608
"47",47,12.126601745,-7.272709191,-1.4789346435,20.54376532,4.682980065,11.10526082,0.023986151,5.204322338,205.515548425431,21.8516012886,0.587288475140676,0.788311380827624,0.539741861995142,0.321383292074795,0.573400561747463,0.636271574400044,0.0291179874546816,0.197397820722241,0.176140917090159,0.000503690682135748
"48",48,12.52292072,-7.8267980115,-2.4231685885,19.01609227,2.3230785895,10.540989099,0.03641016,7.702998161,411.031096850862,25.2755326299,0.600300328959853,0.765765170595443,0.513517732373639,0.262167048551472,0.422172665639002,0.58661836205737,0.0442001128944344,0.292171574175241,0.352281834180317,0.000582830631491835
"49",49,13.35633663,-6.4856342585,-0.7441727665,19.87174711,3.5213203425,9.533281526,0.030677179,6.627465248,461.606779596698,18.7464247566,0.627662849241646,0.820337937293085,0.560148341560316,0.295334266744756,0.498958743878608,0.497944915844583,0.0372405607413637,0.251377050056116,0.395628662240604,0.000431918356995931
"50",50,13.67296163,-7.0754557935,10.3174080415,20.087798825,3.8532876295,10.1052082515,0.0336928,6.030839443,230.803389798349,84.7699100628,0.638058208725751,0.796337741231419,0.867360691279133,0.30370894545567,0.520231968592028,0.548271731966743,0.0409013737849435,0.228747276947383,0.197814331120302,0.00195796977643274
"51",51,12.490065915,-5.042186205,-0.1112734395,20.33192398,3.945954962,9.923985029,0.051876642,10.33013439,230.803389798349,61.2265761531,0.599221647526754,0.879072714226636,0.577725801125816,0.313171817520245,0.526170303678237,0.532324955239621,0.0629756483625492,0.391817778361806,0.197814331120302,0.00141379465504153
"52",52,12.302080245,-5.045759502,-0.238446121,19.89153656,4.1933952565,9.9458551945,0.051876642,10.33013439,230.803389798349,23.864227599,0.593049745063239,0.878927314604042,0.574193844981229,0.296101352928801,0.542026844952599,0.534249425191112,0.0629756483625492,0.391817778361806,0.197814331120302,0.000550210056621017
"53",53,11.73245237,-4.844912805,-0.272941078,19.933337685,4.0615998495,9.7315464565,0.070056595,14.41849327,139.888498204354,59.3906935062,0.5743478531318,0.88709988854429,0.573235819453291,0.29772166402714,0.53358109315987,0.515391281359367,0.0850452018886945,0.546887560905783,0.119894035039496,0.00137136049231552
"54",54,12.891959165,-4.836576638,0.1904639615,19.94105778,4.3727226455,10.1929798005,0.053419825,10.82352448,209.832747306531,36.4486069972,0.612416514666068,0.887439092236476,0.586105928484486,0.298020913284397,0.55351855510857,0.555995208437297,0.0648489953299004,0.410531862964294,0.179841052559245,0.000841082462921432
"55",55,12.573315505,-4.807200944,0.074966167,20.145007645,4.4550452315,10.1636526915,0.029281305,4.919953823,139.888498204354,61.3132208587,0.601954878999172,0.888634407045467,0.5828982179907,0.305926495484979,0.558793975125988,0.553414563126926,0.0355460395311739,0.186611839090559,0.119894035039496,0.0014157973405307
