EST_ID,mean.pr,SD.pr,ES0.99.pr,mean.tas,SD.tas,ES0.99,relative.abundance,richness,risk5,Area_Ha,mean.pr.norm,SD.pr.norm,ES0.99.pr.norm,mean.tas.norm,SD.tas.norm,ES0.99.norm,relative.abundance.norm,richness.norm,risk5.norm,Area_Ha.norm
315,2.13,-18.63,-12.69,25.14,-6.84,0.81,0.07,26.82,127.81,2.98,0.43,0.56,0.40,0.56,0.34,0.23,0.09,0.33,0.11,0.00
316,2.11,-18.70,-12.75,28.88,-6.86,1.02,0.07,27.82,127.81,5.43,0.43,0.56,0.40,0.70,0.34,0.25,0.09,0.35,0.11,0.00
317,1.06,-20.44,-14.33,25.71,-7.48,0.35,0.07,25.08,31.95,81.15,0.39,0.49,0.35,0.58,0.32,0.20,0.09,0.31,0.03,0.00
318,0.97,-20.58,-14.47,25.43,-7.51,0.40,0.06,22.48,127.81,0.51,0.38,0.48,0.35,0.57,0.32,0.20,0.08,0.28,0.11,0.00
319,1.36,-20.40,-14.31,25.31,-7.23,0.56,0.07,26.10,127.81,5.76,0.40,0.49,0.35,0.56,0.33,0.21,0.09,0.33,0.11,0.00
320,0.88,-19.91,-14.08,27.83,-7.91,0.60,0.07,30.06,216.29,5.65,0.38,0.51,0.36,0.66,0.30,0.22,0.09,0.38,0.19,0.00
321,1.75,-19.08,-12.97,24.78,-6.57,1.15,0.05,20.03,111.42,1.24,0.41,0.54,0.39,0.54,0.36,0.25,0.06,0.25,0.10,0.00
322,2.09,-17.59,-12.06,23.20,-6.36,1.31,0.06,21.16,0.00,129.12,0.43,0.60,0.42,0.48,0.37,0.27,0.08,0.26,0.00,0.00
323,1.95,-18.91,-12.91,23.92,-6.29,1.31,0.07,32.76,0.00,135.59,0.42,0.55,0.39,0.51,0.37,0.27,0.10,0.41,0.00,0.00
324,1.88,-19.51,-13.28,23.71,-6.18,1.33,0.07,26.87,0.00,116.83,0.42,0.53,0.38,0.50,0.37,0.27,0.09,0.34,0.00,0.00
325,1.78,-18.90,-12.86,25.29,-6.28,1.47,0.06,26.47,127.81,0.73,0.41,0.55,0.39,0.56,0.37,0.28,0.08,0.33,0.11,0.00
326,1.45,-20.58,-14.01,27.74,-6.92,1.12,0.07,34.08,127.81,16.54,0.40,0.48,0.36,0.66,0.34,0.25,0.09,0.43,0.11,0.00
327,2.12,-19.98,-13.50,25.40,-6.29,1.30,0.08,27.18,127.81,8.40,0.43,0.51,0.37,0.57,0.37,0.27,0.10,0.34,0.11,0.00
328,2.09,-20.89,-14.19,25.55,-6.32,1.29,0.07,26.94,15.98,312.96,0.43,0.47,0.35,0.57,0.37,0.26,0.10,0.34,0.01,0.01
329,0.57,-24.50,-17.35,29.10,-8.08,1.27,0.02,10.87,216.29,0.52,0.37,0.33,0.26,0.71,0.29,0.26,0.03,0.13,0.19,0.00
330,0.40,-29.66,-20.46,27.66,-8.02,1.51,0.07,24.10,216.29,4.35,0.36,0.12,0.18,0.65,0.29,0.28,0.09,0.30,0.19,0.00
331,0.18,-27.48,-18.20,25.07,-7.56,1.65,0.04,25.96,340.82,0.61,0.35,0.21,0.24,0.55,0.31,0.29,0.05,0.32,0.29,0.00
332,-0.31,-28.13,-18.34,24.41,-7.53,1.89,0.07,29.38,340.82,5.31,0.33,0.18,0.24,0.53,0.31,0.31,0.09,0.37,0.29,0.00
333,-0.90,-28.81,-18.64,24.12,-7.75,1.95,0.07,27.22,340.82,18.50,0.31,0.16,0.23,0.52,0.30,0.31,0.09,0.34,0.29,0.00
334,-0.88,-26.49,-17.28,23.40,-8.00,1.86,0.06,34.74,340.82,4.56,0.31,0.25,0.27,0.49,0.29,0.30,0.09,0.44,0.29,0.00
