"","EST_ID","mean.pr","SD.pr","ES0.99.pr","mean.tas","SD.tas","ES0.99","relative.abundance","richness","risk1","Area_Ha","mean.pr.norm","SD.pr.norm","ES0.99.pr.norm","mean.tas.norm","SD.tas.norm","ES0.99.norm","relative.abundance.norm","richness.norm","risk1.norm","Area_Ha.norm"
"74",74,13.40890849,-6.801376528,-2.38734781,26.68126124,8.707374238,13.04754419,0.151629716,39.67596436,0,92.1093473097,0.569784619214685,0.535994490153713,0.465183346833703,0.210737976079026,0.481660621099049,0.309824170136183,0.209459262037115,0.501670350681257,0,0.00212761181481582
"75",75,14.27078747,-4.297493391,-0.346784998,27.90847147,8.374725417,13.77705358,0.186582267,57.5885582,0,78.1273307604,0.597762093793391,0.611313476422362,0.520636338672724,0.245759618927156,0.466895857506533,0.349984537507947,0.258996580402908,0.734009337973996,0,0.00180443474982612
"76",76,20.30474406,0.193496849,4.967110138,35.33395128,11.89330357,17.50357799,0.085430697,26.23025703,0,9.02007262591,0.793630505743454,0.746406375615923,0.665043255174944,0.457665041099049,0.623069489671118,0.555134178317157,0.115637157902107,0.32727003476996,0,0.000207105725458167
"77",77,18.46785014,3.072914178,6.676683503,36.51192748,8.551251297,15.05675498,0.059847716,20.63864708,0,3.0693223177,0.734003047430711,0.833021757564023,0.71150149566627,0.49128166256414,0.474731035993941,0.420433635291542,0.0793790812157144,0.254742906386246,0,6.9561472645068e-05
"78",78,18.14800604,3.776217385,7.080537019,37.07966638,7.955416844,14.97988464,0.089543402,31.77635384,0,92.2763764306,0.723620580304178,0.854177730783363,0.722476352992499,0.507483571984981,0.448284662871756,0.416201830825814,0.121465985014886,0.3992068255984,0,0.00213147248690629
"79",79,15.8008459,1.950801079,4.999707294,34.79626218,11.08495783,18.96025193,0.071736455,29.70221138,93.9957619051058,101.630315095,0.647429357785906,0.799267617905287,0.66592909403029,0.442320681051193,0.587190710013223,0.635325826804746,0.0962286739338774,0.372303733675379,0.0805136031646171,0.00234767724056221
"80",80,15.44293595,3.028993409,5.613865077,34.66360223,10.43930622,18.81239131,0.11590755,53.02458572,375.983047620423,14.992647735,0.635811234174641,0.831700582566541,0.68261904168997,0.438534883576908,0.558533180561834,0.627185922232692,0.158831188857057,0.674811393024939,0.322054412658468,0.000345154431621576
"81",81,15.53528918,2.565143889,5.300406821,34.56903473,10.9915735,19.11692219,0.10576608,43.22218323,187.991523810212,59.5721439972,0.638809114624848,0.817747584876139,0.674100706449505,0.435836153457913,0.583045805631628,0.643950712630862,0.144457953893831,0.547667312837253,0.161027206329234,0.00137555449658634
"82",82,15.79125047,1.843512106,4.846047196,36.85401993,11.89240599,20.49720583,0.076219231,35.07464981,236.684624101719,6.40042512435,0.64711788029878,0.79604027212195,0.66175332834924,0.50104416234785,0.623029650189753,0.719936983430797,0.102581992805354,0.441988052723099,0.20273607568957,0.000146555804931564
"83",83,17.65902245,2.741501318,8.197365284,33.99908371,9.917008155,19.57822028,0.078640342,34.06389999,480.765642706617,11.0208650748,0.707747672069858,0.823052569991834,0.752826542803089,0.419571115426599,0.535350752223831,0.669345726068993,0.106013368855872,0.428877914030583,0.41180765374444,0.000253351574832319
"84",84,17.62038125,2.889434446,8.293252759,33.31621053,10.25019821,19.60955915,0.079664312,32.37016678,480.765642706617,23.1892029908,0.706493339134751,0.827502527368782,0.755432317708606,0.400083549208604,0.550139538724453,0.671070968470899,0.10746461422812,0.40690899862556,0.41180765374444,0.000534607695480569
"85",85,17.54327597,2.8671132,8.248116144,34.34954618,9.833219576,19.42286894,0.06975913,24.39652824,240.382821353308,47.3078472913,0.703990422761174,0.826831084841721,0.754205714769203,0.429572475548909,0.531631759452509,0.660793448371655,0.0934262639456153,0.303485277864081,0.20590382687222,0.00109208040687972
"86",86,17.19425203,2.905828334,8.189491794,33.08883429,8.363468246,17.75367145,0.053420044,18.12109375,480.765642706617,16.9598222581,0.692660748137122,0.827995669802994,0.752612578021341,0.393594775504826,0.466396203041997,0.568902123416364,0.0702693131128113,0.222088462458562,0.41180765374444,0.000390623244110559
"87",87,17.18425241,2.894870343,8.156838278,33.42921089,8.393000113,17.82012938,0.090834118,40.30696869,240.382821353308,53.3856420108,0.692336150228554,0.827666043886567,0.751725207563732,0.403308309036127,0.467706987891286,0.572560712216115,0.123295282378956,0.509854922291548,0.20590382687222,0.00123256113454388
"88",88,17.29366055,3.06062562,8.243383153,34.29812496,8.759528893,18.42710281,0.070501208,24.01260376,480.765642706617,31.4051146596,0.695887650527997,0.832652107032979,0.754077094121137,0.428105036997933,0.483975528300612,0.60597532793984,0.0944779913041777,0.298505506331446,0.41180765374444,0.000724508358948911
"89",89,17.26924846,2.554015477,7.454875403,33.04240871,7.538637483,16.44531486,0.059839658,18.46183586,184.909862579468,55.7296537264,0.695095209079444,0.817412832547552,0.732649126518955,0.392269900563246,0.429785728419182,0.49687552303543,0.0793676608272171,0.226508128168204,0.158387559132477,0.00128674007388915
"90",90,18.33580166,1.684522358,9.696795063,29.68517312,5.580481737,12.66057242,0.077135913,29.85118294,184.909862579468,22.5545942316,0.729716618502653,0.791257721982323,0.793574059522056,0.296462431789124,0.342872128124123,0.288520909809812,0.103881181756518,0.374235999973324,0.158387559132477,0.000519939496834696
