EST_ID,mean.pr,SD.pr,ES0.99.pr,mean.tas,SD.tas,ES0.99,relative.abundance,richness,risk5,Area_Ha,mean.pr.norm,SD.pr.norm,ES0.99.pr.norm,mean.tas.norm,SD.tas.norm,ES0.99.norm,relative.abundance.norm,richness.norm,risk5.norm,Area_Ha.norm
126,6.12,-10.43,-2.84,19.37,-5.69,3.55,0.06,15.33,90.45,100.57,0.58,0.88,0.68,0.33,0.39,0.42,0.07,0.19,0.08,0
127,6.38,-10.49,-3.51,18.75,-6.22,3.7,0.07,27.23,150.75,85.64,0.59,0.88,0.66,0.31,0.37,0.43,0.1,0.34,0.13,0
128,6.37,-10.05,-1.99,17.37,-9.09,2.35,0.09,30.67,226.12,69.05,0.59,0.9,0.7,0.25,0.25,0.34,0.12,0.38,0.19,0
129,6.89,-10.34,-2.33,18.83,-5.46,4.1,0.07,23.06,226.12,24.22,0.61,0.89,0.69,0.31,0.4,0.46,0.1,0.29,0.19,0
130,7.3,-10.37,4.21,19.19,-5.16,4.15,0.08,31.04,226.12,56.19,0.63,0.89,0.88,0.32,0.42,0.46,0.11,0.39,0.19,0
131,6.09,-9.44,-1.37,17.48,-6.55,4.02,0.07,28.47,286.81,11.83,0.58,0.92,0.72,0.26,0.36,0.45,0.09,0.36,0.25,0
132,7.21,-8.32,-4.06,16.74,-3.77,5.49,0.13,44.44,126.31,47.15,0.63,0.97,0.64,0.23,0.48,0.55,0.17,0.56,0.11,0
133,1.47,-12.32,-8.13,18.08,1.83,9.08,0.1,30.11,592.07,6.72,0.4,0.81,0.53,0.28,0.72,0.8,0.14,0.38,0.51,0
134,1.23,-12.44,-8.39,18.42,3.26,9.84,0.07,21.64,486.19,2.65,0.39,0.81,0.52,0.29,0.78,0.85,0.1,0.27,0.42,0
135,1.22,-12.68,-8.65,18.55,3.29,9.89,0.08,19.45,486.19,5.87,0.39,0.8,0.51,0.3,0.78,0.85,0.1,0.24,0.42,0
136,3.21,-13.97,-8.98,18.2,-0.17,8.1,0.08,30.61,116.93,88.37,0.47,0.74,0.5,0.29,0.63,0.73,0.11,0.38,0.1,0
137,3.4,-14.11,-9.04,17.94,-0.36,7.81,0.09,26.73,292.33,48.99,0.48,0.74,0.5,0.28,0.62,0.71,0.12,0.33,0.25,0
138,1.96,-13.41,-8.81,18.02,0.62,8.61,0.08,29.34,564.62,6.32,0.42,0.77,0.51,0.28,0.67,0.77,0.1,0.37,0.48,0
139,2.28,-13.66,-8.94,18.05,-0.19,8.22,0.07,27.21,284.67,10.33,0.43,0.76,0.5,0.28,0.63,0.74,0.1,0.34,0.24,0
140,2.85,-14.89,-9.82,18.25,-0.11,8.41,0.08,26.59,584.66,3.54,0.46,0.71,0.48,0.29,0.63,0.75,0.11,0.33,0.5,0
141,2.89,-15.09,-9.89,18.02,0.44,8.55,0.08,27.49,584.66,7.58,0.46,0.7,0.48,0.28,0.66,0.76,0.11,0.34,0.5,0
142,2.98,-15.12,-9.86,18.2,0.39,8.66,0.09,30.72,584.66,11.21,0.46,0.7,0.48,0.29,0.66,0.77,0.12,0.39,0.5,0
143,3.13,-15.02,-9.83,17.93,0.19,8.43,0.09,31.07,584.66,13.28,0.47,0.7,0.48,0.28,0.65,0.75,0.12,0.39,0.5,0
144,3.84,-14.4,-9.2,17.58,-0.26,8.04,0.1,41.2,586.23,10.91,0.49,0.73,0.5,0.26,0.63,0.73,0.14,0.52,0.5,0
145,5.28,-12.98,-7.84,17.33,-0.41,7.69,0.12,55.01,238.99,31.81,0.55,0.78,0.54,0.25,0.62,0.7,0.17,0.7,0.2,0
146,5.69,-12.47,-7.25,17.11,-0.49,7.67,0.1,44.46,484.42,4.47,0.57,0.8,0.55,0.24,0.62,0.7,0.14,0.56,0.42,0
147,3.1,-15.56,-11.48,18.42,4,10.02,0.11,32.59,103.97,50.58,0.46,0.68,0.43,0.29,0.81,0.86,0.14,0.41,0.09,0
148,3.1,-15.56,-11.48,18.42,4,10.02,0.07,37.69,503.24,6.32,0.46,0.68,0.43,0.29,0.81,0.86,0.09,0.48,0.43,0
149,1.45,-21.03,-13.62,23.04,-10.04,1.76,0.04,18.97,558.32,16.43,0.4,0.46,0.37,0.47,0.21,0.3,0.05,0.23,0.48,0
150,7.59,-13.17,-6.6,17.72,-10.49,1.56,0.08,34.57,251.62,80.57,0.64,0.78,0.57,0.27,0.19,0.28,0.1,0.44,0.22,0
151,6.77,-8.96,4.27,18.12,-8.82,2.76,NA,39,655.42,11.3,0.61,0.94,0.88,0.28,0.26,0.37,NA,0.49,0.56,0
152,6.12,-11.34,-6.47,16.92,-1.75,6.94,0.08,27.68,504.87,5.26,0.58,0.85,0.58,0.24,0.56,0.65,0.11,0.35,0.43,0
153,2.93,-21.38,-11.48,20.31,-13.75,-0.35,0.07,33.36,126.05,126.62,0.46,0.45,0.43,0.37,0.05,0.15,0.09,0.42,0.11,0
154,3.37,-20.26,-11.02,20.12,-13.21,-0.16,0.09,42.16,189.07,68.98,0.48,0.5,0.45,0.36,0.07,0.17,0.12,0.53,0.16,0
155,3.51,-19.39,-10.54,20.1,-13.6,-0.47,0.06,27.67,341.42,43.58,0.48,0.53,0.46,0.36,0.05,0.14,0.07,0.35,0.29,0
156,3.23,-25.76,-14.15,19.71,-13.77,-0.72,0.06,30.2,318.8,62.18,0.47,0.28,0.36,0.35,0.04,0.13,0.08,0.38,0.27,0
157,3.87,-17.92,-9.82,20.01,-13.71,-0.62,0.09,38.74,315.18,26.86,0.49,0.59,0.48,0.36,0.05,0.13,0.12,0.49,0.27,0
158,4.48,-17.71,-10.13,19.58,-12.63,0.06,0.08,36.82,630.37,6.61,0.52,0.6,0.47,0.34,0.09,0.18,0.11,0.46,0.54,0
159,5.28,-20.11,-12.18,19.44,-12.55,-0.19,0.05,26.24,428.87,19.48,0.55,0.5,0.41,0.33,0.1,0.16,0.07,0.33,0.37,0
160,6.01,-21.71,-13.64,19.09,-12.26,-0.17,0.06,29.02,324.35,25.76,0.58,0.44,0.37,0.32,0.11,0.16,0.07,0.36,0.28,0
161,6.13,-21.5,-13.49,19.4,-12.25,-0.14,0.1,45.11,926.78,4.85,0.58,0.45,0.37,0.33,0.11,0.17,0.13,0.57,0.79,0
162,6.55,-22.36,-14.24,19.49,-12.54,-0.29,0.08,42.56,973.05,1.29,0.6,0.41,0.35,0.34,0.1,0.16,0.11,0.54,0.83,0
163,7.1,-22.91,-14.64,18.58,-12.71,-0.89,0.03,16.96,973.05,18.45,0.62,0.39,0.34,0.3,0.09,0.12,0.03,0.21,0.83,0
164,7.04,-23.05,-14.91,20.03,-12.44,-0.37,0.05,29.34,1007.21,7.09,0.62,0.38,0.33,0.36,0.1,0.15,0.06,0.37,0.86,0
165,8.07,-22.68,-14.49,18.74,-12.61,-0.85,0.04,22.5,826.49,37.66,0.66,0.4,0.35,0.31,0.1,0.12,0.05,0.28,0.71,0
166,8.62,-22.26,-14.23,19.51,-12.05,-0.61,0.03,15.97,891.32,25.36,0.68,0.42,0.35,0.34,0.12,0.13,0.04,0.19,0.76,0
167,9.97,-20.43,-12.59,19,-12.13,-0.57,0.03,20.63,963.75,4.35,0.73,0.49,0.4,0.32,0.12,0.14,0.04,0.25,0.83,0
168,10.12,-20.06,-12.24,18.83,-12.75,-0.86,0.06,28.65,963.75,6.36,0.74,0.5,0.41,0.31,0.09,0.12,0.08,0.36,0.83,0
169,10.41,-19.72,-11.85,19.13,-12.65,-0.76,0.06,28.65,963.75,11.24,0.75,0.52,0.42,0.32,0.09,0.12,0.08,0.36,0.83,0
170,11.97,-18.49,-10.26,19.58,-11.71,-0.1,0.04,23.15,1003.47,16.88,0.81,0.57,0.47,0.34,0.13,0.17,0.06,0.29,0.86,0
171,12.48,-20.1,-11.76,19.34,-12.86,-0.1,0.06,32.59,1119.93,8.79,0.83,0.5,0.42,0.33,0.08,0.17,0.09,0.41,0.96,0
172,14.63,-20.44,8.4,20.03,-12.07,-0.49,0.07,29.74,583.04,21.93,0.91,0.49,1,0.36,0.12,0.14,0.09,0.37,0.5,0
173,13.33,-18.75,7.15,18.91,-12.07,-0.41,0.04,24.87,583.04,47.74,0.86,0.56,0.96,0.31,0.12,0.15,0.05,0.31,0.5,0
174,14.62,-20.37,5.64,19.42,-11.89,-0.38,0.06,27.79,272.09,107.16,0.91,0.49,0.92,0.33,0.13,0.15,0.09,0.35,0.23,0
175,15.48,-22.31,-6.15,19.45,-11.89,-0.6,0.07,31.03,1166.08,26.72,0.95,0.41,0.58,0.34,0.13,0.13,0.09,0.39,1,0
176,4.27,-23,-13.4,19.63,-12.71,-0.63,0.05,25.15,165.23,135.82,0.51,0.39,0.38,0.34,0.09,0.13,0.06,0.31,0.14,0
177,4.45,-23.51,-13.52,19.23,-12.76,-0.86,0.06,30.5,76.26,514.28,0.52,0.37,0.37,0.33,0.09,0.12,0.08,0.38,0.07,0.01
178,4.19,-23.8,-13.69,19.49,-12.8,-0.8,0.06,32.06,70.81,228.58,0.51,0.35,0.37,0.34,0.09,0.12,0.08,0.4,0.06,0.01
179,3.64,-21.48,-12.7,20.65,-14.02,-0.96,0.07,36.46,180.45,108.82,0.49,0.45,0.4,0.38,0.03,0.11,0.1,0.46,0.15,0
180,4.22,-17.01,-10.14,20.14,-14.33,-0.97,0.07,31.14,334.92,58.19,0.51,0.62,0.47,0.36,0.02,0.11,0.1,0.39,0.29,0
181,3.99,-16.72,-9.64,21.47,-14.81,-1.09,0.15,56.56,37.21,303.15,0.5,0.64,0.48,0.41,0,0.1,0.2,0.72,0.03,0.01
182,4.77,-16.85,-9.76,19.6,-13.88,-0.78,0.09,37.22,921.04,27.82,0.53,0.63,0.48,0.34,0.04,0.12,0.12,0.47,0.79,0
183,16,-24.65,7.28,18.27,-11.06,0.05,0.06,26.78,1088.34,9.87,0.97,0.32,0.97,0.29,0.16,0.18,0.08,0.33,0.93,0
184,16.54,-27.54,-6.6,18.25,-11.36,-0.12,0.06,25.35,1088.34,30.02,0.99,0.21,0.57,0.29,0.15,0.17,0.09,0.32,0.93,0
185,11.79,-19.4,-10.99,18.89,-12.14,1.04,0.1,35.87,1022.57,1.01,0.8,0.53,0.45,0.31,0.12,0.25,0.13,0.45,0.88,0
186,16.64,-27.52,6.13,17.65,-11.27,0.1,0.08,33.47,1088.34,17.23,0.99,0.21,0.94,0.27,0.15,0.18,0.11,0.42,0.93,0
187,16.81,-27.19,1.01,18.74,-10.99,0.25,0.04,18.9,1088.34,10.4,1,0.22,0.79,0.31,0.16,0.19,0.05,0.23,0.93,0
188,16.75,-26.63,-19.91,19.01,-11.18,0.22,0.05,24.97,544.17,29.73,1,0.24,0.19,0.32,0.16,0.19,0.07,0.31,0.47,0
